Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
1659,12289,2020-05-07,209,22,67,Balochistan,,,
388,4876,2020-05-07,288,3,21,GB,,,
521,15607,2020-05-07,56,4,19,ICT,,,
3712,24984,2020-05-07,939,203,671,KP,,,
9077,112007,2020-05-07,3184,175,2939,Punjab,,,
8640,72544,2020-05-07,1731,157,1224,Sindh,,,
78,2518,2020-05-08,58,0,20,AJK,,,
1725,13241,2020-05-08,209,24,44,Balochistan,,,
394,5007,2020-05-08,292,3,13,GB,,,
558,16666,2020-05-08,72,4,18,ICT,,,
3956,26531,2020-05-08,984,209,704,KP,,,
10033,117206,2020-05-08,4062,183,3009,Punjab,,,
9093,76078,2020-05-08,1853,171,1211,Sindh,,,
79,2668,2020-05-09,60,0,19,AJK,,,
1876,13771,2020-05-09,222,24,44,Balochistan,,,
421,5135,2020-05-09,298,3,12,GB,,,
609,17657,2020-05-09,72,4,29,ICT,,,
4327,27990,2020-05-09,1033,221,806,KP,,,
10471,121194,2020-05-09,4131,191,3370,Punjab,,,
9691,81610,2020-05-09,1940,175,1154,Sindh,,,
86,2780,2020-05-10,60,0,26,AJK,,,
1935,14374,2020-05-10,242,24,28,Balochistan,,,
430,5310,2020-05-10,303,4,13,GB,,,
641,18755,2020-05-10,72,5,29,ICT,,,
4509,29202,2020-05-10,1086,234,602,KP,,,
11093,125988,2020-05-10,4240,192,3882,Punjab,,,
10771,87108,2020-05-10,2020,180,1139,Sindh,,,
86,2854,2020-05-11,64,0,22,AJK,,,
2017,14687,2020-05-11,242,26,28,Balochistan,,,
442,5480,2020-05-11,304,4,5,GB,,,
679,19532,2020-05-11,72,6,28,ICT,,,
4669,30472,2020-05-11,1126,245,641,KP,,,
11568,130546,2020-05-11,4323,197,4269,Punjab,,,
11480,91323,2020-05-11,2081,189,1237,Sindh,,,
86,2935,2020-05-12,0,1,21,AJK,,,
2061,15323,2020-05-12,1761,27,31,Balochistan,,,
457,5619,2020-05-12,121,4,12,GB,,,
716,20201,2020-05-12,602,6,36,ICT,,,
4875,31606,2020-05-12,2713,257,649,KP,,,
11869,135114,2020-05-12,2784,211,4422,Punjab,,,
12017,95053,2020-05-12,8178,200,1490,Sindh,,,
88,3037,2020-05-13,0,1,19,AJK,,,
2158,15751,2020-05-13,1844,27,31,Balochistan,,,
475,5748,2020-05-13,127,4,13,GB,,,
759,21257,2020-05-13,632,6,29,ICT,,,
5021,32577,2020-05-13,2860,267,589,KP,,,
13225,140212,2020-05-13,2780,214,5700,Punjab,,,
12610,99117,2020-05-13,8668,218,1495,Sindh,,,
91,3245,2020-05-14,69,1,21,AJK,,,
